theory_id,paper_url,paper_name,paper_year
6,https://pubmed.ncbi.nlm.nih.gov/35259281/,Biological mechanisms of aging predict age-related disease co-occurrence in patients.,2022
9,https://pubmed.ncbi.nlm.nih.gov/39187546/,Insights into aging mechanisms from comparative genomics in orange and silver roughies.,2024
1,https://pubmed.ncbi.nlm.nih.gov/40887468/,"Arterial stiffness and vascular aging: mechanisms, prevention, and therapy.",2025
2,https://pubmed.ncbi.nlm.nih.gov/36018385/,[Biological mechanisms of aging in the cardiovascular system].,2022
10,https://pubmed.ncbi.nlm.nih.gov/36947707/,Potential reversal of biological age in women following an 8-week methylation-supportive diet and lifestyle program: a case series.,2023
5,https://pubmed.ncbi.nlm.nih.gov/25100532/,"Stem cell aging: mechanisms, regulators and therapeutic opportunities.",2014
8,https://pubmed.ncbi.nlm.nih.gov/40550930/,"Biological properties, synthetic pathways and anti-aging mechanisms of nicotinamide mononucleotide (NMN): Research progress and challenges.",2025
5,https://pubmed.ncbi.nlm.nih.gov/26055182/,"Aging of Stem and Progenitor Cells: Mechanisms, Impact on Therapeutic Potential, and Rejuvenation.",2016
1,https://pubmed.ncbi.nlm.nih.gov/38093329/,The stromal microenvironment and ovarian aging: mechanisms and therapeutic opportunities.,2023
4,https://pubmed.ncbi.nlm.nih.gov/39373702/,A new model and precious tool to study molecular mechanisms of macrophage aging.,2024
5,https://pubmed.ncbi.nlm.nih.gov/23200066/,Aging mechanisms in arthritic disease.,2012
1,https://pubmed.ncbi.nlm.nih.gov/23705067/,Aging mechanisms in bone.,2012
4,https://pubmed.ncbi.nlm.nih.gov/40418230/,"Vascular senescence and aging: mechanisms, clinical implications, and therapeutic prospects.",2025
1,https://pubmed.ncbi.nlm.nih.gov/9813429/,Mechanisms of aging of the extracellular matrix: role of the elastin-laminin receptor.,1998
2,https://pubmed.ncbi.nlm.nih.gov/35000109/,The Mechanism of Stem Cell Aging.,2022
6,https://pubmed.ncbi.nlm.nih.gov/40301689/,ARID5A orchestrates cardiac aging and inflammation through MAVS mRNA stabilization.,2025
1,https://pubmed.ncbi.nlm.nih.gov/40300217/,The role of granulosa cells in oocyte development and aging: Mechanisms and therapeutic opportunities.,2025
3,https://pubmed.ncbi.nlm.nih.gov/39308064/,Research advances in the function and anti-aging effects of nicotinamide mononucleotide.,2024
4,https://pubmed.ncbi.nlm.nih.gov/34290887/,Oligodendrocytes in the aging brain.,2021
1,https://pubmed.ncbi.nlm.nih.gov/28840062/,Recent Progress in Vascular Aging: Mechanisms and Its Role in Age-related Diseases.,2017
4,https://pubmed.ncbi.nlm.nih.gov/38289789/,Meeting Summary of The NYO3 5th NO-Age/AD Meeting and the 1st Norway-UK Joint Meeting on Aging and Dementia: Recent Progress on the Mechanisms and Interventional Strategies.,2024
1,https://pubmed.ncbi.nlm.nih.gov/15935593/,The essential mechanisms of aging: Irreparable damage accumulation of biochemical side-reactions.,2005
1,https://pubmed.ncbi.nlm.nih.gov/40695127/,Genome-wide association and epidemiological evidence linking air pollution to aging mechanisms.,2025
3,https://pubmed.ncbi.nlm.nih.gov/40256418/,Understanding Cognitive Decline in Aging: Mechanisms and Mitigation Strategies - A Narrative Review.,2025
1,https://pubmed.ncbi.nlm.nih.gov/40790691/,Plant polyphenols delay aging: A review of their anti-aging mechanisms and bioavailability.,2025
1,https://pubmed.ncbi.nlm.nih.gov/40528054/,Molecular Mechanisms Behind Organ-Related Aging and Regulatory Effects of Natural Therapeutics.,2025
4,https://pubmed.ncbi.nlm.nih.gov/34828297/,Multi-Omics Interpretation of Anti-Aging Mechanisms for ω-3 Fatty Acids.,2021
7,https://pubmed.ncbi.nlm.nih.gov/24833580/,Stress biology and aging mechanisms: toward understanding the deep connection between adaptation to stress and longevity.,2014
1,https://pubmed.ncbi.nlm.nih.gov/24011311/,Psychological Stress and skin aging: a review of possible mechanisms and potential therapies.,2013
1,https://pubmed.ncbi.nlm.nih.gov/40840749/,"A review of anti-aging mechanisms of proteins, macropeptides, and related prenylated derivatives.",2025
4,https://pubmed.ncbi.nlm.nih.gov/35269841/,Age Related Osteoporosis: Targeting Cellular Senescence.,2022
4,https://pubmed.ncbi.nlm.nih.gov/39227191/,A new clinical age of aging research.,2025
4,https://pubmed.ncbi.nlm.nih.gov/38151347/,[Advances in live-imaging aging reporter mice].,2023
10,https://pubmed.ncbi.nlm.nih.gov/40404700/,An epigenetic clock for Xenopus tropicalis.,2025
1,https://pubmed.ncbi.nlm.nih.gov/35860429/,Pharmacological Approaches to Decelerate Aging: A Promising Path.,2022
8,https://pubmed.ncbi.nlm.nih.gov/38797976/,Translatability of life-extending pharmacological treatments between different species.,2024
2,https://pubmed.ncbi.nlm.nih.gov/33705290/,Importance and Meaning of TERRA Sequences for Aging Mechanisms.,2020
4,https://pubmed.ncbi.nlm.nih.gov/38950628/,Navigating oligodendrocyte precursor cell aging in brain health.,2024
4,https://pubmed.ncbi.nlm.nih.gov/38521235/,Skeleton-derived extracellular vesicles in bone and whole-body aging: From mechanisms to potential applications.,2024
3,https://pubmed.ncbi.nlm.nih.gov/33155651/,New Horizons: Novel Approaches to Enhance Healthspan Through Targeting Cellular Senescence and Related Aging Mechanisms.,2021
4,https://pubmed.ncbi.nlm.nih.gov/39444378/,G-quadruplex DNA and RNA in cellular senescence.,2024
5,https://pubmed.ncbi.nlm.nih.gov/28739207/,Obstructive Sleep Apnea and Hallmarks of Aging.,2017
2,https://pubmed.ncbi.nlm.nih.gov/24496911/,Bone cell senescence: mechanisms and perspectives.,2014
4,https://pubmed.ncbi.nlm.nih.gov/39787443/,MicroSphere 3D Structures Delay Tissue Senescence through Mechanotransduction.,2025
10,https://pubmed.ncbi.nlm.nih.gov/40956961/,Lactylation Modification and Aging: A Molecular Link in the Life Process.,2025
1,https://pubmed.ncbi.nlm.nih.gov/36558488/,The Role and Mechanism of Polysaccharides in Anti-Aging.,2022
4,https://pubmed.ncbi.nlm.nih.gov/40980505/,Liver-bone organoids reveal senescence-driven interorgan crosstalk.,2025
8,https://pubmed.ncbi.nlm.nih.gov/29905792/,Yeast as a tool to identify anti-aging compounds.,2018
4,https://pubmed.ncbi.nlm.nih.gov/27380967/,"Aging, Clonality, and Rejuvenation of Hematopoietic Stem Cells.",2016
4,https://pubmed.ncbi.nlm.nih.gov/39627462/,Discovering geroprotectors through the explainable artificial intelligence-based platform AgeXtend.,2025
5,https://pubmed.ncbi.nlm.nih.gov/22932881/,Current understanding of ovarian aging.,2012
3,https://pubmed.ncbi.nlm.nih.gov/40967284/,The anti-aging mechanisms of Catalpol by elevating mitophagy.,2025
1,https://pubmed.ncbi.nlm.nih.gov/37960316/,The Role of Methionine-Rich Diet in Unhealthy Cerebrovascular and Brain Aging: Mechanisms and Implications for Cognitive Impairment.,2023
5,https://pubmed.ncbi.nlm.nih.gov/31303548/,Remodeling of Bone Marrow Hematopoietic Stem Cell Niches Promotes Myeloid Cell Expansion during Premature or Physiological Aging.,2019
3,https://pubmed.ncbi.nlm.nih.gov/34135771/,Proteomics and Epidemiological Models of Human Aging.,2021
1,https://pubmed.ncbi.nlm.nih.gov/34899370/,Sirtuins at the Service of Healthy Longevity.,2021
1,https://pubmed.ncbi.nlm.nih.gov/32509998/,"Aging - Oxidative stress, antioxidants and computational modeling.",2020
4,https://pubmed.ncbi.nlm.nih.gov/39704343/,The Fifth Annual Symposium of the Midwest Aging Consortium.,2025
2,https://pubmed.ncbi.nlm.nih.gov/34139318/,Mini-review: The anti-aging effects of lithium in bipolar disorder.,2021
10,https://pubmed.ncbi.nlm.nih.gov/35718942/,Regulation and roles of RNA modifications in aging-related diseases.,2022
5,https://pubmed.ncbi.nlm.nih.gov/33022333/,In vivo clonal analysis of aging hematopoietic stem cells.,2020
1,https://pubmed.ncbi.nlm.nih.gov/37571224/,Research Progress on the Anti-Aging Potential of the Active Components of Ginseng.,2023
1,https://pubmed.ncbi.nlm.nih.gov/20933613/,Metallothionein and the biology of aging.,2011
1,https://pubmed.ncbi.nlm.nih.gov/40033591/,Phytoextracts as Natural Anti-Aging Agents: Mechanisms and Strategies for Skin Rejuvenation.,2025
6,https://pubmed.ncbi.nlm.nih.gov/40738475/,Research progress on blood therapy for anti-aging.,2025
4,https://pubmed.ncbi.nlm.nih.gov/30806947/,Targeting Cell Senescence for the Treatment of Age-Related Bone Loss.,2019
4,https://pubmed.ncbi.nlm.nih.gov/26924669/,Aging and adipose tissue: potential interventions for diabetes and regenerative medicine.,2016
3,https://pubmed.ncbi.nlm.nih.gov/28780002/,Sex-Specific Gene Expression and Life Span Regulation.,2017
4,https://pubmed.ncbi.nlm.nih.gov/38926642/,Analysis of the aging-related biomarker in a nonhuman primate model using multilayer omics.,2024
1,https://pubmed.ncbi.nlm.nih.gov/34118939/,Molecular and cellular pathways contributing to brain aging.,2021
9,https://pubmed.ncbi.nlm.nih.gov/32791128/,Pathophysiology of premature aging characteristics in Mendelian progeroid disorders.,2020
1,https://pubmed.ncbi.nlm.nih.gov/38928217/,Relationship between Hypoxia and Hypercapnia Tolerance and Life Expectancy.,2024
1,https://pubmed.ncbi.nlm.nih.gov/36976193/,Potential Active Marine Peptides as Anti-Aging Drugs or Drug Candidates.,2023
4,https://pubmed.ncbi.nlm.nih.gov/39600291/,Molecular underpinnings of aging contributing to systemic sclerosis pathogenesis.,2025
10,https://pubmed.ncbi.nlm.nih.gov/19591290/,[Anti-aging drugs].,2009
2,https://pubmed.ncbi.nlm.nih.gov/40650320/,Microgravity Therapy as Treatment for Decelerated Aging and Successful Longevity.,2025
2,https://pubmed.ncbi.nlm.nih.gov/37900096/,"Aging, longevity, and the role of environmental stressors: a focus on wildfire smoke and air quality.",2023
2,https://pubmed.ncbi.nlm.nih.gov/30075061/,The Spectrum of Fundamental Basic Science Discoveries Contributing to Organismal Aging.,2018
1,https://pubmed.ncbi.nlm.nih.gov/37230336/,"Dietary antioxidants and lifespan: Relevance of environmental conditions, diet, and genotype of experimental models.",2023
9,https://pubmed.ncbi.nlm.nih.gov/23382477/,Biochemical markers of aging for longitudinal studies in humans.,2013
2,https://pubmed.ncbi.nlm.nih.gov/34937532/,Is Evidence Supporting the Subtelomere-Telomere Theory of Aging?,2021
4,https://pubmed.ncbi.nlm.nih.gov/27561708/,Non-Coding RNA Molecules Connect Calorie Restriction and Lifespan.,2017
2,https://pubmed.ncbi.nlm.nih.gov/38879533/,Multiscale and multidisciplinary analysis of aging processes in bone.,2024
1,https://pubmed.ncbi.nlm.nih.gov/39940672/,Preeclampsia as a Study Model for Aging: The Klotho Gene Paradigm.,2025
1,https://pubmed.ncbi.nlm.nih.gov/33022200/,Current Topical Strategies for Skin-Aging and Inflammaging Treatment: Science versus Fiction.,2020
10,https://pubmed.ncbi.nlm.nih.gov/40195985/,An accelerated human in-vitro aging model mimicsin-vivo aging and facilitates dynamic testing of anti-aging compounds.,2025
5,https://pubmed.ncbi.nlm.nih.gov/35906989/,Axolotl: A resourceful vertebrate model for regeneration and beyond.,2022
9,https://pubmed.ncbi.nlm.nih.gov/33436302/,Xeroderma Pigmentosum: A Model for Human Premature Aging.,2021
10,https://pubmed.ncbi.nlm.nih.gov/38879158/,Epigenetic biomarkers in aging and longevity: Current and future application.,2024
1,https://pubmed.ncbi.nlm.nih.gov/30708978/,The Link Between Inflammaging and Degenerative Joint Diseases.,2019
1,https://pubmed.ncbi.nlm.nih.gov/34909119/,Why stem/progenitor cells lose their regenerative potential.,2021
4,https://pubmed.ncbi.nlm.nih.gov/40106151/,Evaluation of Anti-aging Agents Using the D-Galactose-Induced Accelerated Aging Model.,2025
1,https://pubmed.ncbi.nlm.nih.gov/36711026/,Aging of colloidal contaminants and pathogens in the soil environment: Implications for nanoplastic and COVID-19 risk mitigation.,2022
9,https://pubmed.ncbi.nlm.nih.gov/27939088/,"Aging: Somatic Mutations, Epigenetic Drift and Gene Dosage Imbalance.",2017
1,https://pubmed.ncbi.nlm.nih.gov/35457203/,"The Relaxin-3 Receptor, RXFP3, Is a Modulator of Aging-Related Disease.",2022
1,https://pubmed.ncbi.nlm.nih.gov/36587706/,Weather aging effects on modified asphalt with rubber-polyethylene composites.,2023
6,https://pubmed.ncbi.nlm.nih.gov/36715895/,Τhe Endless Beauty of Metformin: Does It Also Protect from Skin Aging? A Narrative Review.,2023
8,https://pubmed.ncbi.nlm.nih.gov/30790575/,Functional genomics of dietary restriction and longevity in yeast.,2019
1,https://pubmed.ncbi.nlm.nih.gov/39493397/,Opportunities and challenges of foodborne polyphenols applied to anti-aging health foods.,2024
4,https://pubmed.ncbi.nlm.nih.gov/40507795/,Targeting Aging Hallmarks with Monoclonal Antibodies: A New Era in Cancer Immunotherapy and Geriatric Medicine.,2025
4,https://pubmed.ncbi.nlm.nih.gov/39426025/,RBC subpopulations in RCCs affected by donor factors.,2024
8,https://pubmed.ncbi.nlm.nih.gov/37481178/,R-phycocyanin from porphyra haitanensis influences drosophila melanogaster lifespan in a sex-specific manner.,2023
3,https://pubmed.ncbi.nlm.nih.gov/38815535/,Unlocking longevity with GLP-1: A key to turn back the clock?,2024
3,https://pubmed.ncbi.nlm.nih.gov/40223287/,A Novel Research Paradigm for Sarcopenia of Limb Muscles: Lessons From the Perpetually Working Diaphragm's Anti-Aging Mechanisms.,2025
4,https://pubmed.ncbi.nlm.nih.gov/25907989/,SIRTain regulators of premature senescence and accelerated aging.,2015
4,https://pubmed.ncbi.nlm.nih.gov/34699859/,Strategies for late phase preclinical and early clinical trials of senolytics.,2021
1,https://pubmed.ncbi.nlm.nih.gov/40702898/,Aging and Herbal Interventions: Mechanistic Insights and Therapeutic Potential.,2025
5,https://pubmed.ncbi.nlm.nih.gov/23985544/,Effects of melatonin on nervous system aging: neurogenesis and neurodegeneration.,2013
4,https://pubmed.ncbi.nlm.nih.gov/32112672/,"Discovery, development, and future application of senolytics: theories and predictions.",2020
9,https://pubmed.ncbi.nlm.nih.gov/41014658/,Mini review: Gene therapy targets for aging-associated diseases.,2025
2,https://pubmed.ncbi.nlm.nih.gov/33815884/,Obstructive Sleep Apnea-hypopnea Syndrome as a Novel Potential Risk for Aging.,2021
4,https://pubmed.ncbi.nlm.nih.gov/30108193/,Role of sphingolipids in senescence: implication in aging and age-related diseases.,2018
4,https://pubmed.ncbi.nlm.nih.gov/39143696/,Loss of immune cell identity with age inferred from large atlases of single cell transcriptomes.,2024
1,https://pubmed.ncbi.nlm.nih.gov/2055498/,Erythrocyte aging: physical and chemical membrane changes.,1991
4,https://pubmed.ncbi.nlm.nih.gov/41117435/,Reproductive Fitness and the Links to Chronic Disease and Systemic Aging.,2025
1,https://pubmed.ncbi.nlm.nih.gov/32498474/,Experimental Models of Sarcopenia: Bridging Molecular Mechanism and Therapeutic Strategy.,2020
1,https://pubmed.ncbi.nlm.nih.gov/23050036/,Nuclear and mitochondrial DNA repair in selected eukaryotic aging model systems.,2012
7,https://pubmed.ncbi.nlm.nih.gov/31810345/,The Effects of Calorie Restriction on Autophagy: Role on Aging Intervention.,2019
10,https://pubmed.ncbi.nlm.nih.gov/23201549/,Recent advances in calorie restriction research on aging.,2013
10,https://pubmed.ncbi.nlm.nih.gov/19662799/,A current genetic and epigenetic view on human aging mechanisms.,2009
6,https://pubmed.ncbi.nlm.nih.gov/37964100/,Inflammation as common link to progressive neurological diseases.,2024
4,https://pubmed.ncbi.nlm.nih.gov/32041168/,Anti-aging Effects of Calorie Restriction (CR) and CR Mimetics based on the Senoinflammation Concept.,2020
3,https://pubmed.ncbi.nlm.nih.gov/22499902/,Contribution of impaired mitochondrial autophagy to cardiac aging: mechanisms and therapeutic opportunities.,2012
4,https://pubmed.ncbi.nlm.nih.gov/26372510/,Premature aging in chronic kidney disease and chronic obstructive pulmonary disease: similarities and differences.,2015
4,https://pubmed.ncbi.nlm.nih.gov/32215170/,The Emerging Role of Senescence in Ocular Disease.,2020
8,https://pubmed.ncbi.nlm.nih.gov/33196092/,The nonhuman primate hypothalamo-pituitary-adrenal axis is an orchestrator of programming-aging interactions: role of nutrition.,2020
1,https://pubmed.ncbi.nlm.nih.gov/34912294/,Emerging Antioxidant Paradigm of Mesenchymal Stem Cell-Derived Exosome Therapy.,2021
1,https://pubmed.ncbi.nlm.nih.gov/33138356/,"Biochar Aging: Mechanisms, Physicochemical Changes, Assessment, And Implications for Field Applications.",2020
10,https://pubmed.ncbi.nlm.nih.gov/38421057/,Therapeutic effects of resveratrol on epigenetic mechanisms in age-related diseases: A comprehensive review.,2024
4,https://pubmed.ncbi.nlm.nih.gov/27535964/,Barriers to the Preclinical Development of Therapeutics that Target Aging Mechanisms.,2016
7,https://pubmed.ncbi.nlm.nih.gov/23303664/,Curcumin and neurodegenerative diseases.,2013
6,https://pubmed.ncbi.nlm.nih.gov/40919715/,Defining aging-associated factors that increase susceptibility to prostate cancer.,2025
3,https://pubmed.ncbi.nlm.nih.gov/35474295/,Targeting NAD+: is it a common strategy to delay heart aging?,2022
8,https://pubmed.ncbi.nlm.nih.gov/33184758/,Glycolytic inhibition: an effective strategy for developing calorie restriction mimetics.,2021
10,https://pubmed.ncbi.nlm.nih.gov/25247581/,"Melatonin regulates aging and neurodegeneration through energy metabolism, epigenetics, autophagy and circadian rhythm pathways.",2014
4,https://pubmed.ncbi.nlm.nih.gov/40570982/,"Deciphering the anti-senescent effects of Clioquinol: Lifespan prolongation, metabolic homeostasis, and phenotypic rehabilitation in Drosophila melanogaster.",2025
10,https://pubmed.ncbi.nlm.nih.gov/40565571/,Epigenetic Clocks and Their Prospective Application in the Complex Landscape of Aging and Alzheimer's Disease.,2025
4,https://pubmed.ncbi.nlm.nih.gov/40434135/,Circadian Gene BMAL1 Regulation of Cellular Senescence in Thyroid Aging.,2025
1,https://pubmed.ncbi.nlm.nih.gov/38387545/,"Innovative overview of the occurrence, aging characteristics, and ecological toxicity of microplastics in environmental media.",2024
1,https://pubmed.ncbi.nlm.nih.gov/30960008/,Polyethylene Nanocomposites for Power Cable Insulations.,2018
4,https://pubmed.ncbi.nlm.nih.gov/40220914/,Changing landscape of hematopoietic and mesenchymal cells and their interactions during aging and in age-related skeletal pathologies.,2025
7,https://pubmed.ncbi.nlm.nih.gov/23910180/,Dentin adhesion and MMPs: a comprehensive review.,2013
1,https://pubmed.ncbi.nlm.nih.gov/22582162/,Abnormal lung aging in chronic obstructive pulmonary disease and idiopathic pulmonary fibrosis.,2012
1,https://pubmed.ncbi.nlm.nih.gov/35760023/,Flavonoids from Rhododendron nivale Hook. f delay aging via modulation of gut microbiota and glutathione metabolism.,2022
6,https://pubmed.ncbi.nlm.nih.gov/6991/,The regulation of physiological changes during mammalian aging.,1976
10,https://pubmed.ncbi.nlm.nih.gov/32743556/,DNA Methylation Clocks and Their Predictive Capacity for Aging Phenotypes and Healthspan.,2020
10,https://pubmed.ncbi.nlm.nih.gov/26895224/,Investigating the specific core genetic-and-epigenetic networks of cellular mechanisms involved in human aging in peripheral blood mononuclear cells.,2016
1,https://pubmed.ncbi.nlm.nih.gov/31269075/,The effect of aging in primary human dermal fibroblasts.,2019
3,https://pubmed.ncbi.nlm.nih.gov/40170682/,Robust assembly of electron transfer chain in the brain of naked mole-rats during aging.,2025
9,https://pubmed.ncbi.nlm.nih.gov/36170432/,Targeting Cellular Senescence for Age-Related Diseases: Path to Clinical Translation.,2022
7,https://pubmed.ncbi.nlm.nih.gov/40954782/,Integrating coarse-grained simulations and machine learning to uncover protein aging mechanisms.,2025
8,https://pubmed.ncbi.nlm.nih.gov/21428920/,A longer and healthier life with TOR down-regulation: genetics and drugs.,2011
1,https://pubmed.ncbi.nlm.nih.gov/38095562/,Aging Hallmarks and Progression and Age-Related Diseases: A Landscape View of Research Advancement.,2024
1,https://pubmed.ncbi.nlm.nih.gov/23050038/,Pleiotropic cellular functions of PARP1 in longevity and aging: genome maintenance meets inflammation.,2012
5,https://pubmed.ncbi.nlm.nih.gov/41105860/,"Decoding Dental Stem Cell Aging: Mechanisms, Therapeutic Strategies, and Beyond.",2025
1,https://pubmed.ncbi.nlm.nih.gov/32977738/,Contribution of Ferroptosis to Aging and Frailty.,2020
4,https://pubmed.ncbi.nlm.nih.gov/31770722/,Latest advances in aging research and drug discovery.,2019
4,https://pubmed.ncbi.nlm.nih.gov/28869295/,The Clinical Potential of Senolytic Drugs.,2017
4,https://pubmed.ncbi.nlm.nih.gov/36396643/,A Glb1-2A-mCherry reporter monitors systemic aging and predicts lifespan in middle-aged mice.,2022
3,https://pubmed.ncbi.nlm.nih.gov/40286039/,"Dipalmitoylphosphatidylcholine Lipid Vesicles for Delivering HMB, NMN, and L-Leucine in Sarcopenia Therapy.",2025
1,https://pubmed.ncbi.nlm.nih.gov/40083903/,The wheel of time: The environmental dance of aged micro- and nanoplastics and their biological resonance.,2025
8,https://pubmed.ncbi.nlm.nih.gov/33039674/,Vitamin D - A host directed autophagy mediated therapy for tuberculosis.,2020
1,https://pubmed.ncbi.nlm.nih.gov/8891668/,Aging and oxidative stress: modulation by dietary restriction.,1996
4,https://pubmed.ncbi.nlm.nih.gov/40765725/,Recent progress in stem cell and immune cell-based interventions for aging and age-related disorders.,2025
1,https://pubmed.ncbi.nlm.nih.gov/36414078/,Anti-aging effects of polysaccharides from ginseng extract residues in Caenorhabditis elegans.,2023
1,https://pubmed.ncbi.nlm.nih.gov/39725206/,Enhanced oxidative potential and SO,2025
8,https://pubmed.ncbi.nlm.nih.gov/35486979/,Amino Acid Availability Is Not Essential for Life-Span Extension by Dietary Restriction in the Fly.,2022
1,https://pubmed.ncbi.nlm.nih.gov/30378035/,Peroxisomes and Cellular Oxidant/Antioxidant Balance: Protein Redox Modifications and Impact on Inter-organelle Communication.,2018
8,https://pubmed.ncbi.nlm.nih.gov/25642019/,Rotifers as experimental tools for investigating aging.,2015
5,https://pubmed.ncbi.nlm.nih.gov/41043403/,Stem cell research in space: Advancing regenerative medicine beyond Earth.,2025
8,https://pubmed.ncbi.nlm.nih.gov/19943137/,Do long-lived mutant and calorie-restricted mice share common anti-aging mechanisms?--a pathological point of view.,2006
1,https://pubmed.ncbi.nlm.nih.gov/40463657/,Integrative lipidomics and proteomics reveal the aging mechanisms of heat-treated oat flour during long-term storage.,2025
4,https://pubmed.ncbi.nlm.nih.gov/36287172/,Combining stem cell rejuvenation and senescence targeting to synergistically extend lifespan.,2022
1,https://pubmed.ncbi.nlm.nih.gov/32398747/,Naked mole-rat very-high-molecular-mass hyaluronan exhibits superior cytoprotective properties.,2020
2,https://pubmed.ncbi.nlm.nih.gov/28259119/,Possible Interventions to Modify Aging.,2016
1,https://pubmed.ncbi.nlm.nih.gov/38202669/,Discovery of a 4-Hydroxy-3'-Trifluoromethoxy-Substituted Resveratrol Derivative as an Anti-Aging Agent.,2023
1,https://pubmed.ncbi.nlm.nih.gov/40808101/,Performance of Asphalt Materials Based on Molecular Dynamics Simulation: A Review.,2025
1,https://pubmed.ncbi.nlm.nih.gov/37978939/,Mobile Phase Aging and Its Impact on Electrospray Ionization of Oligonucleotides.,2023
3,https://pubmed.ncbi.nlm.nih.gov/34093653/,Comparative Analysis of Multiple Neurodegenerative Diseases Based on Advanced Epigenetic Aging Brain.,2021
10,https://pubmed.ncbi.nlm.nih.gov/38269100/,HDAC1/2 inhibitor therapy improves multiple organ systems in aged mice.,2024
10,https://pubmed.ncbi.nlm.nih.gov/39853302/,EpiAge: a next-generation sequencing-based ,2025
